component,description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
64,"""Any process that modulates the frequency, rate or extent of neuron differentiation."" [GOC:go_curators]",20206,20869,11,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], ['ISS', 'IEA'], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], []]",regulation of neuron differentiation,GO:0045664,1.933234734246163e-05,"['GO:0030182', 'GO:0045595']",0.061452513966480445,query_1,179,0.06432748538011696,True,GO:BP,171,10746,1
176,"""The progression of the neural retina over time from its initial formation to the mature structure. The neural retina is the part of the retina that contains neurons and photoreceptor cells."" [GOC:ascb_2009, GOC:dph, GOC:tb]",20206,11862,8,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], ['ISS'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",neural retina development,GO:0003407,2.614212985509647e-05,"['GO:0048856', 'GO:0060041']",0.0446927374301676,query_1,179,0.1,True,GO:BP,80,1739,1
89,"""A process that leads to a temporary increase in postsynaptic potential due to the flow of positively charged ions into the postsynaptic cell. The flow of ions that causes an EPSP is an excitatory postsynaptic current (EPSC) and makes it easier for the neuron to fire an action potential."" [GOC:dph, GOC:ef]",20206,23481,8,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], ['NAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'ISO', 'IBA', 'IEA'], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",excitatory postsynaptic potential,GO:0060079,0.00010409790518776563,"['GO:0060078', 'GO:0099565']",0.0446927374301676,query_1,179,0.08080808080808081,True,GO:BP,99,13358,1
172,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a dopamine stimulus."" [GO_REF:0000071, GOC:mr, GOC:TermGenie, PMID:11118945]",20206,31453,6,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IGI', 'ISS', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'TAS'], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], ['ISS'], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",cellular response to dopamine,GO:1903351,0.0001384006824844126,"['GO:0071870', 'GO:1903350']",0.0335195530726257,query_1,179,0.125,True,GO:BP,48,21330,1
102,"""Any process that stops, prevents, or reduces the frequency, rate or extent of adenylate cyclase activity."" [GOC:go_curators]",20206,12740,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], ['TAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS'], [], [], [], [], ['TAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",negative regulation of adenylate cyclase activity,GO:0007194,0.0001815113590266186,"['GO:0043086', 'GO:0045761']",0.0223463687150838,query_1,179,0.2857142857142857,True,GO:BP,14,2617,1
143,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron whose cell body resides in the central nervous system."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",20206,16200,10,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], ['ISS', 'IEA'], [], [], [], [], [], [], ['IEA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",central nervous system neuron differentiation,GO:0021953,0.0003377472719627155,"['GO:0007417', 'GO:0030182']",0.055865921787709494,query_1,179,0.05,True,GO:BP,200,6077,1
388,"""Behavior in a fully developed and mature organism."" [GOC:mah, ISBN:0877797099]",20206,16516,8,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], ['IEA'], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",adult behavior,GO:0030534,0.0007035807418918587,['GO:0007610'],0.0446927374301676,query_1,179,0.058394160583941604,True,GO:BP,137,6393,1
226,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",20206,19523,47,"[[], [], ['NAS', 'IEA'], [], [], ['ISS'], [], [], [], ['IDA'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], ['IDA', 'IMP', 'ISS', 'IBA'], [], [], [], [], [], ['IDA', 'IGI', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], [], [], ['IEA'], ['IMP', 'IEA'], [], [], ['IEA'], ['IMP', 'IEA'], [], ['IDA'], [], [], [], [], [], [], ['IEA'], [], ['IDA', 'ISS', 'IBA', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], [], [], ['IDA', 'ISS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], [], [], [], ['ISS'], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP', 'ISS', 'IEA'], [], [], [], [], [], ['IDA'], [], ['IDA', 'ISS'], ['IDA', 'IMP', 'IEA'], [], [], [], [], [], [], ['IMP'], ['ISS', 'IEA'], [], ['IDA'], ['IDA', 'IEA'], [], [], ['IEA'], [], [], [], [], [], [], ['IEA'], ['IDA'], [], [], [], [], [], [], [], [], ['IEA'], [], ['IEP', 'IEA'], ['IDA'], ['IMP'], ['IEA'], [], ['ISS'], ['IBA', 'IEA'], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], [], [], [], [], [], [], [], [], ['IEA'], [], ['IDA', 'IBA'], [], [], [], ['IMP', 'IEA'], [], [], [], ['IEA'], [], [], [], [], [], []]",response to chemical,GO:0042221,0.0008842696228404049,['GO:0050896'],0.26256983240223464,query_1,179,0.01576652130157665,True,GO:BP,2981,9400,1
159,"""A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation or inhibition of adenylyl cyclase activity and a subsequent change in the intracellular concentration of cyclic AMP (cAMP)."" [GOC:mah, GOC:signaling, ISBN:0815316194]",20206,12734,10,"[[], [], ['IMP'], [], [], ['ISS', 'IBA'], [], ['IBA'], ['IBA', 'TAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA'], [], [], [], [], [], [], []]",adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188,0.0010167715480325359,['GO:0007186'],0.055865921787709494,query_1,179,0.0425531914893617,True,GO:BP,235,2611,1
245,"""A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:dph, GOC:jid, GOC:tb, PMID:11891290]",20206,21839,9,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'TAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IBA', 'NAS', 'IEA'], ['IEA'], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], []]",regulation of synaptic plasticity,GO:0048167,0.0018120378336734608,"['GO:0050804', 'GO:0065008']",0.05027932960893855,query_1,179,0.043689320388349516,True,GO:BP,206,11716,1
177,"""The process in which a relatively unspecialized cell acquires specialized features of an amacrine cell, an interneuron generated in the inner nuclear layer (INL) of the vertebrate retina. Amacrine cells integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. Amacrine cells lack large axons."" [CL:0000561, GOC:bf]",20206,18830,3,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",amacrine cell differentiation,GO:0035881,0.002016020223189658,"['GO:0003407', 'GO:0021953']",0.01675977653631285,query_1,179,0.2727272727272727,True,GO:BP,11,8707,1
186,"""Any process that modulates the rate or extent of heat generation."" [GOC:dph, GOC:mah, GOC:tb]",20206,16920,3,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of heat generation,GO:0031650,0.0025419929216542554,"['GO:0031649', 'GO:0051239']",0.01675977653631285,query_1,179,0.25,True,GO:BP,12,6797,1
191,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",20206,14229,29,"[['IBA'], [], [], [], [], [], [], [], ['IDA', 'IBA'], [], [], [], [], [], ['IDA'], [], [], ['TAS'], [], [], [], [], [], ['IDA'], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], ['ISS', 'IEA'], [], [], [], ['HMP'], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IMP'], [], [], [], [], [], [], [], [], [], [], ['ISS', 'ISO', 'IBA', 'IEA'], ['ISS', 'IEA'], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], ['ISS', 'IEA'], ['IDA', 'IEA'], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IMP'], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], ['IDA', 'IBA', 'NAS', 'IEA'], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], ['IEA'], [], [], [], ['ISS', 'IBA', 'IEA'], ['IDA'], [], [], ['ISS'], [], [], [], [], ['IEA'], [], [], [], [], [], []]",positive regulation of cell communication,GO:0010647,0.0028689872547732337,"['GO:0007154', 'GO:0010646', 'GO:0048522']",0.16201117318435754,query_1,179,0.018170426065162906,True,GO:BP,1596,4106,1
194,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical."" [GOC:jl, GOC:krc]",20206,13442,11,"[[], [], ['IEA'], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['IEA'], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",response to xenobiotic stimulus,GO:0009410,0.0031109226351445024,['GO:0042221'],0.061452513966480445,query_1,179,0.03333333333333333,True,GO:BP,330,3319,1
199,"""The process in which the developmental fate of a cell becomes restricted such that it will develop into a neuron."" [GOC:dph]",20206,22195,5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], ['ISS', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",neuron fate commitment,GO:0048663,0.0034432169641181514,"['GO:0030182', 'GO:0045165']",0.027932960893854747,query_1,179,0.08196721311475409,True,GO:BP,61,12072,1
201,"""Any process that activates or increases the frequency, rate or extent of adipocyte differentiation."" [GOC:go_curators]",20206,20805,5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], []]",positive regulation of fat cell differentiation,GO:0045600,0.0036818141327216356,"['GO:0045444', 'GO:0045597', 'GO:0045598']",0.027932960893854747,query_1,179,0.08064516129032258,True,GO:BP,62,10682,1
203,"""The series of molecular signals mediated by the detection of a lipoprotein particle."" [GOC:BHF, GOC:rl]",20206,23393,2,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",lipoprotein particle mediated signaling,GO:0055095,0.003769162378424229,"['GO:0007165', 'GO:0071402']",0.0111731843575419,query_1,179,0.6666666666666666,True,GO:BP,3,13270,1
213,"""Any process that modulates the frequency, rate or extent of a circadian rhythm. A circadian rhythm is a biological process in an organism that recurs with a regularity of approximately 24 hours."" [GOC:dph, GOC:jl, GOC:tb]",20206,19814,6,"[[], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], []]",regulation of circadian rhythm,GO:0042752,0.004167242282190702,"['GO:0007623', 'GO:0050789']",0.0335195530726257,query_1,179,0.06,True,GO:BP,100,9691,1
220,"""Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]",20206,14460,12,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], ['IBA'], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], ['IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of neuron projection development,GO:0010975,0.005071512361366807,"['GO:0031175', 'GO:0120035']",0.0670391061452514,query_1,179,0.028985507246376812,True,GO:BP,414,4337,1
225,"""The specific behavior of an organism that is associated with reproduction."" [GOC:jl, GOC:pr]",20206,15388,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",reproductive behavior,GO:0019098,0.006292496728342421,"['GO:0007610', 'GO:0048609']",0.0223463687150838,query_1,179,0.1,True,GO:BP,40,5265,1
227,"""The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell."" [GOC:ai]",20206,12501,8,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], ['TAS'], [], [], [], [], [], [], ['IBA', 'IEA'], ['ISS', 'IC', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",neurotransmitter transport,GO:0006836,0.006383254479027632,['GO:0006810'],0.0446927374301676,query_1,179,0.03980099502487562,True,GO:BP,201,2378,1
237,"""Any process that stops, prevents or reduces the rate or extent of cell proliferation in response to cell density."" [GOC:dph]",20206,23602,2,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",negative regulation of cell proliferation involved in contact inhibition,GO:0060244,0.0065175336721379805,"['GO:0008285', 'GO:0060242']",0.0111731843575419,query_1,179,0.5,True,GO:BP,4,13479,4
